lambda,q,r,qf,num_safeified,num_unsafeified,num_tox_un,num_tox_contr,dist1_base,dist2_base,dist3_base,dist1_steered,dist2_steered,dist3_steered
1,0.1,0.1,1000,277,69,355,147,0.19245766785962287,0.6224192729895035,0.8916399572649573,0.1961089494163424,0.6159060099412562,0.8865513518941581
1.5,0.1,0.1,1000,318,23,349,54,0.19329737851833964,0.626462380594612,0.8936592695950841,0.1992684157416751,0.6136633113852519,0.8800141278571069
2,0.1,0.1,1000,322,5,331,14,0.187348782192591,0.6119579535984084,0.8832939025701688,0.14887256143906766,0.524487572525273,0.8022195196108239
2.5,0.1,0.1,1000,351,2,352,3,0.19018075363253029,0.620595186935969,0.8871102038623727,0.07337730475191126,0.3258713304184884,0.5989656206276234
0.5,0.1,1,0.1,238,114,329,205,0.19016217665192334,0.6217563800128673,0.8918585636543978,0.19920950672179316,0.6307988350322447,0.8980626706540111
1,0.1,1,0.1,250,64,310,124,0.1922922090121038,0.6180085882984434,0.8852357819587214,0.2036846967053269,0.6328552000205281,0.8989222478829869
1.5,0.1,1,0.1,299,28,344,73,0.18789774854270283,0.6123218439981817,0.8871002246229543,0.20847624987007587,0.6294987397032455,0.8902084091263448
2,0.1,1,0.1,323,3,344,24,0.19075978101215116,0.6221023394936438,0.8878829153646877,0.2022416393613148,0.6233843913348763,0.8833610735462395
2.5,0.1,1,0.1,332,1,341,10,0.19058085613959846,0.6186404331742883,0.8867175981771881,0.1686019507663725,0.559672799525198,0.8269250619322873
0.5,0.1,1,1,209,134,332,257,0.18931159420289856,0.6214200079925403,0.8884211648105718,0.1947718460313792,0.6197935391094448,0.890988931974012
1,0.1,1,1,254,49,330,125,0.18989850298599395,0.617327262988752,0.8871956935108064,0.20457283469612694,0.6299087460268635,0.8958755222885852
1.5,0.1,1,1,288,20,324,56,0.19318273389024684,0.6245030622112389,0.8934644209847691,0.2057333847538244,0.6262148403352702,0.8878461419792765
2,0.1,1,1,310,9,326,25,0.19271868120066585,0.6195462478184991,0.888250456449361,0.19507585564127788,0.6085695792880259,0.8741714995857498
2.5,0.1,1,1,340,1,341,5,0.18972975859859004,0.6243757844420114,0.892324947925012,0.15848428931569508,0.5417403056450775,0.8144769330734243
0.5,0.1,1,10,167,210,321,364,0.1922574104212801,0.6180362860192102,0.8874302942981402,0.1865286298568507,0.6068406656611877,0.8795439439644154
1,0.1,1,10,242,106,330,194,0.18980132096157445,0.6211894320248155,0.8915897847305789,0.19983779810933422,0.6265460259529603,0.8911924977822836
1.5,0.1,1,10,290,39,324,73,0.1894384130813564,0.6128565301308171,0.881215987990242,0.20617121449906342,0.6272370586001772,0.8901123936816525
2,0.1,1,10,330,14,350,34,0.19270484108890976,0.6190859349855166,0.8891183649384438,0.19589518523299343,0.6114524706975784,0.8793793406139467
2.5,0.1,1,10,312,2,316,6,0.19148708051892355,0.6195620124909534,0.886050501259851,0.15529344964641512,0.5376435669118595,0.8079702663638241
0.5,0.1,1,100,157,213,339,395,0.19062208605301717,0.6182927479085629,0.8914821623637865,0.1847951123494977,0.6078787259062324,0.8796942505815886
1,0.1,1,100,234,87,312,165,0.1914505618278849,0.6200118000429092,0.8905248478021831,0.19634842145302397,0.626692701729472,0.8985874774934699
1.5,0.1,1,100,285,39,320,74,0.18636122881355932,0.6118276437405652,0.8877588855341915,0.2015097398485194,0.6230114499949336,0.8889170360987967
2,0.1,1,100,306,8,333,35,0.18887672549595494,0.6217825483285272,0.8949293743825265,0.1920417882931326,0.6090185133024352,0.8740653487657483
2.5,0.1,1,100,315,2,318,5,0.18645565552699228,0.6127252764909086,0.8843661292914144,0.15627166516882784,0.5411616680361545,0.8127519708291606
